text,label,io_confidence,org_confidence,nci_score,top_indicators,platform,timestamp
"Search code, repositories, users, issues, pull requests.... A fun and developer-friendly profanity detection library brought to you by Coffee & Fun LLC ☕🎉 Built and maintained with love by Robert James Gabriel 💻✨ Google Profanity Words is a Node.js library that helps you detect and filter out naughty language (in multiple languages!) from your apps or content. Whether you're building a chat app, a comment section, a game, or a comment moderator — this one's your profanity-slaying sidekick. Made by devs for ",IO,0.999,0.001,0,,github.com,2026-06-15T10:03:26.588157
"Search code, repositories, users, issues, pull requests.... A fun and developer-friendly profanity detection library brought to you by Coffee & Fun LLC ☕🎉 Built and maintained with love by Robert James Gabriel 💻✨ Google Profanity Words is a Node.js library that helps you detect and filter out naughty language (in multiple languages!) from your apps or content. Whether you're building a chat app, a comment section, a game, or a comment moderator — this one's your profanity-slaying sidekick. Made by devs for ",IO,0.999,0.001,0,,github.com,2026-06-15T10:03:27.080235
